reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,appId,sortOrder,content_cleaned,sentiment,sentiment_vi,sentiment_label,bank_name
36c9b4ce-2a69-4d86-81a2-8f344999b74b,Lia Hầu Thị,https://play-lh.googleusercontent.com/a/ACg8ocLmsqoVZGJ77jgl-UGZMeitfwrs9fJ_xtBsyrsncO1-SR9bGT9l=mo,"Tôi là một người dùng BIDV, và tôi đã không thể nào đăng nhập vào lại app chỉ vì nó cứ bắt cập nhật lại vân tay mà không hề báo tôi, từ lúc lập tk tôi đã sài vân tay nên quên mk, và nó hết hạn không dùng được vân tay nữa, trong khi tôi ở nước ngoài số VN không sài được, tôi thật sự đã hết cách!",1,17,5.2.97,2026-01-23 14:16:59,"BIDV rất xin lỗi vì Quý khách đã có trải nghiệm không như mong muốn. Trong quá trình sử dụng nếu có vấn đề vướng mắc hoặc đóng góp ý kiến, phản ánh chất lượng dịch vụ, Quý khách vui lòng liên hệ hotline BIDV 19009247 / 02422200588 hoặc gửi email tới hòm thư bidv247@bidv.com.vn để BIDV tiếp nhận thông tin và hỗ trợ Quý khách. Cảm ơn Quý khách!
",2026-01-24 01:30:54,5.2.97,com.vnpay.bidv,most_relevant,"tôi là một người dùng bidv, và tôi đã không thể nào đăng nhập vào lại ứng dụng chỉ vì nó cứ bắt cập nhật lại vân tay mà không hề báo tôi, từ lúc lập cảm ơn tôi đã sài vân tay nên quên mk, và nó hết hạn không dùng được vân tay nữa, trong khi tôi ở nước ngoài số vn không sài được, tôi thật sự đã hết cách!",negative,tiêu cực,0,BIDV
7f84e4b6-8065-4df8-9fa8-b2ab1d118a31,Hải Phương Đỗ Nguyễn,https://play-lh.googleusercontent.com/a-/ALV-UjUGgMpJPk47lNCXcQNxhIATFfN3a_vpnG4z3V4pu28XSCAykhea,"App không gửi mã OTP, nếu có gửi toàn 1 tiếng sau khi mã đã hết hiệu lực. Lần nào mình đặt lại mật khẩu đều bị vậy, đổi máy mới vẫn bị. Mới đầu mình nghĩ là do nhà mạng nhưng các app khác gửi mã vẫn nhận được, chỉ có app này là không nhận được.",1,0,5.2.97,2026-01-26 07:50:05,,,5.2.97,com.vnpay.bidv,most_relevant,"ứng dụng không gửi mã otp, nếu có gửi toàn 1 tiếng sau khi mã đã hết hiệu lực. lần nào mình đặt lại mật khẩu đều bị vậy, đổi máy mới vẫn bị. mới đầu mình nghĩ là do nhà mạng nhưng các ứng dụng khác gửi mã vẫn nhận được, chỉ có ứng dụng này là không nhận được.",negative,tiêu cực,0,BIDV
7ff632ec-27c8-4513-90f3-c265ec632d81,Trần Văn Hậu,https://play-lh.googleusercontent.com/a-/ALV-UjXcfKFeIPQBz5-Um25wvYITYjNcnkcRoQx2ef2D6aJJQ2ygq2Sz,"App thỉnh thoảng rất lag , đăng nhập mãi phải tầm 10-20s mới vào được . Xog có lúc đơ ko ấn chuyển tiền được , lúc chuyển được thì đợi xác nhận loading mãi . Hệ thống ngân hàng mà như vậy , chán !",1,4,5.2.97,2026-01-24 02:22:49,"BIDV rất xin lỗi vì Quý khách đã có trải nghiệm không như mong muốn. Trong quá trình sử dụng nếu có vấn đề vướng mắc hoặc đóng góp ý kiến, phản ánh chất lượng dịch vụ, Quý khách vui lòng liên hệ hotline BIDV 19009247 / 02422200588 hoặc gửi email tới hòm thư bidv247@bidv.com.vn để BIDV tiếp nhận thông tin và hỗ trợ Quý khách. Cảm ơn Quý khách!
",2026-01-24 04:10:21,5.2.97,com.vnpay.bidv,most_relevant,"ứng dụng thỉnh thoảng rất lag , đăng nhập mãi phải tầm 10 20s mới vào được . xog có lúc đơ không ấn chuyển tiền được , lúc chuyển được thì đợi xác nhận loading mãi . hệ thống ngân hàng mà như vậy , chán !",negative,tiêu cực,0,BIDV
2d38ef05-eb74-41a2-89ab-4a8e1681d2ab,Nguyễn Hải Đăng,https://play-lh.googleusercontent.com/a-/ALV-UjWWIhOABI4gRSs7CGXGPnsm3ZCgHUtmkipOPZPdpj4ZLcSA6xc,"Nếu kh phải do đóng tiền học qua app thì k bao giờ dùng cái NH này, đã trừ phí hàng tháng hàng năm rồi xong lại còn cứ lag liên lục, app thì vẫn cho đăng nhập xong load liên tục k cho thao tác, k cho ck, rất gây bực mình cho người dùng",1,3,5.2.97,2026-01-23 02:43:27,"BIDV rất xin lỗi vì Quý khách đã có trải nghiệm không như mong muốn. Trong quá trình sử dụng nếu có vấn đề vướng mắc hoặc đóng góp ý kiến, phản ánh chất lượng dịch vụ, Quý khách vui lòng liên hệ hotline BIDV 19009247 / 02422200588 hoặc gửi email tới hòm thư bidv247@bidv.com.vn để BIDV tiếp nhận thông tin và hỗ trợ Quý khách. Cảm ơn Quý khách!
",2026-01-24 03:45:37,5.2.97,com.vnpay.bidv,most_relevant,"nếu không phải do đóng tiền học qua ứng dụng thì không bao giờ dùng cái nh này, đã trừ phí hàng tháng hàng năm rồi xong lại còn cứ lag liên lục, ứng dụng thì vẫn cho đăng nhập xong load liên tục không cho thao tác, không cho ck, rất gây bực mình cho người dùng",negative,tiêu cực,0,BIDV
3fdd6402-b80d-414e-8b81-c09175858d83,Hậu Trần,https://play-lh.googleusercontent.com/a/ACg8ocKY7V0fJHOCoKbCbuEJGbAkMnFxcAyMxxQcP2NoUoXRkiYeDOo=mo,"quá tệ, quét mặt khó qua, mở tài khoảng quét chíp cũng lỗi, dù đã dùng đt sịn và có nfc",1,0,5.2.97,2026-01-24 01:43:36,"BIDV rất xin lỗi vì Quý khách đã có trải nghiệm không như mong muốn. Trong quá trình sử dụng nếu có vấn đề vướng mắc hoặc đóng góp ý kiến, phản ánh chất lượng dịch vụ, Quý khách vui lòng liên hệ hotline BIDV 19009247 / 02422200588 hoặc gửi email tới hòm thư bidv247@bidv.com.vn để BIDV tiếp nhận thông tin và hỗ trợ Quý khách. Cảm ơn Quý khách!
",2026-01-24 04:11:29,5.2.97,com.vnpay.bidv,most_relevant,"quá tệ, quét mặt khó qua, mở tài khoảng quét chíp cũng lỗi, dù đã dùng đt sịn và có nfc",negative,tiêu cực,0,BIDV
637be8ae-cc1f-4f5e-8f90-9f9c6253a2ff,Nghĩa Lê,https://play-lh.googleusercontent.com/a-/ALV-UjXeU3Khj0_WCZJaCaJpoq8PIsKsFoea62V3yV1mo6tVJv_9rK4H,"cm điện thoại có nfc quét lần đầu nói thành công, xác định lần 2 bảo điện thoại không có nfc..apk óc chó",1,2,5.2.97,2026-01-24 01:44:37,"BIDV rất xin lỗi vì Quý khách đã có trải nghiệm không như mong muốn. Trong quá trình sử dụng nếu có vấn đề vướng mắc hoặc đóng góp ý kiến, phản ánh chất lượng dịch vụ, Quý khách vui lòng liên hệ hotline BIDV 19009247 / 02422200588 hoặc gửi email tới hòm thư bidv247@bidv.com.vn để BIDV tiếp nhận thông tin và hỗ trợ Quý khách. Cảm ơn Quý khách!
",2026-01-24 04:11:16,5.2.97,com.vnpay.bidv,most_relevant,"cm điện thoại có nfc quét lần đầu nói thành công, xác định lần 2 bảo điện thoại không có nfc..apk óc chó",negative,tiêu cực,0,BIDV
5ef207e7-a558-47f5-9a52-754855381b06,Cuong Ngo,https://play-lh.googleusercontent.com/a-/ALV-UjUPbwuRRg0cBJymxci347_QrVNkt3wLgmtqk7ZXXpgEwuM_6Oj-,đăng ký online khong bao giờ qua được phần quét nfc trong khi các app khác có thể quét được nfc thì ứng dụng mỗi lần quét lại hiển thị lỗi hoặc không quét thấy nfc,1,1,5.2.97,2026-01-26 02:37:19,,,5.2.97,com.vnpay.bidv,most_relevant,đăng ký online không bao giờ qua được phần quét nfc trong khi các ứng dụng khác có thể quét được nfc thì ứng dụng mỗi lần quét lại hiển thị lỗi hoặc không quét thấy nfc,negative,tiêu cực,0,BIDV
01d31b4f-3384-4ff5-a0b3-a35611d3b66a,Minh Thư Hoàng Thị,https://play-lh.googleusercontent.com/a-/ALV-UjVMqjLoRSJMq61DXNdQyN-NKM0B7J7EgQ6wmXcBqs1n0sVe18w,chuyển tiền mấy ngày tiền thì trừ nhưng bên kia không nhận được tiền liên hệ lên cskh nhưng không ai nghe cứ mở nhạc để trừ tiền NÊN TRÁNH XA NGÂN HÀNG NÀY,1,0,5.2.97,2026-01-25 03:15:06,"BIDV rất xin lỗi vì Quý khách đã có trải nghiệm không như mong muốn. Trong quá trình sử dụng nếu có vấn đề vướng mắc hoặc đóng góp ý kiến, phản ánh chất lượng dịch vụ, Quý khách vui lòng liên hệ hotline BIDV 19009247 / 02422200588 hoặc gửi email tới hòm thư bidv247@bidv.com.vn để BIDV tiếp nhận thông tin và hỗ trợ Quý khách. Cảm ơn Quý khách!
",2026-01-25 08:19:50,5.2.97,com.vnpay.bidv,most_relevant,chuyển tiền mấy ngày tiền thì trừ nhưng bên kia không nhận được tiền liên hệ lên cskh nhưng không ai nghe cứ mở nhạc để trừ tiền nên tránh xa ngân hàng này,negative,tiêu cực,0,BIDV
16c64d6a-4b69-4765-a377-0becae2d5f25,Đợi Nguyễn,https://play-lh.googleusercontent.com/a/ACg8ocKMj0K2gsivXEMvSo4s5FJhis1AKRpbHxq_IKudCKX8hEjUsg=mo,sao k đăng nhập dc máy khác mà cứ bắt phải chức năng này chức năng kia mới dc sdt dùng sẽ gửi ma về sim mà lang nhàng quá lên k muốn dùng BIDV là đúng,1,3,5.2.97,2026-01-22 13:50:27,"BIDV rất xin lỗi vì Quý khách đã có trải nghiệm không như mong muốn. Trong quá trình sử dụng nếu có vấn đề vướng mắc hoặc đóng góp ý kiến, phản ánh chất lượng dịch vụ, Quý khách vui lòng liên hệ hotline BIDV 19009247 / 02422200588 hoặc gửi email tới hòm thư bidv247@bidv.com.vn để BIDV tiếp nhận thông tin và hỗ trợ Quý khách. Cảm ơn Quý khách!
",2026-01-24 03:47:39,5.2.97,com.vnpay.bidv,most_relevant,như thế nào không đăng nhập được máy khác mà cứ bắt phải chức năng này chức năng kia mới được sdt dùng sẽ gửi mà về sim mà lang nhàng quá lên không muốn dùng bidv là đúng,negative,tiêu cực,0,BIDV
a57f3893-80a3-40cc-8c00-29541c35b83b,nguyen le,https://play-lh.googleusercontent.com/a-/ALV-UjVib4l2qey4iWhS_wRU_KN7MToFDuG9olLbwJFtiOOANvra0jcB,"Dạo gần đây dịch vụ BIDV rất tệ. Đột ngột cắt hay lỗi không vào được tài khoản. giờ sd thanh toán điện tử là chính mà đột ngột ko sd được rất bất tiện. Thẻ thì mới làm được 1 năm theo CCCD mới lại báo không sd được để rút tiền, phải đi làm lại thẻ mất phí , không nhiều nhưng gây phiền hà bất tiện. Tôi đọc bình luận thấy ngân hàng bảo gọi điện tổng đài , nhưng tôi cũng gọi rất nhiều lần nào cũng không gọi được, toàn báo bận. Ngân hàng nên tiếp thu ý kiến của người sd nghiêm túc và đều chỉnh.",1,0,5.2.97,2026-01-27 04:01:35,,,5.2.97,com.vnpay.bidv,most_relevant,"dạo gần đây dịch vụ bidv rất tệ. đột ngột cắt hay lỗi không vào được tài khoản. giờ sử dụng thanh toán điện tử là chính mà đột ngột không sử dụng được rất bất tiện. thẻ thì mới làm được 1 năm theo cd mới lại báo không sử dụng được để rút tiền, phải đi làm lại thẻ mất phí , không nhiều nhưng gây phiền hà bất tiện. tôi đọc bình luận thấy ngân hàng bảo gọi điện tổng đài , nhưng tôi cũng gọi rất nhiều lần nào cũng không gọi được, toàn báo bận. ngân hàng nên tiếp thu ý kiến của người sử dụng nghiêm túc và đều chỉnh.",negative,tiêu cực,0,BIDV
